name,city_class,fragmentation_idx,median_hh_income,pci_score,cost_per_lane_mile,te_score,inefficiency_pct,te_rank
Arcadia,Full-Service,-0.10930693587691631,96028,60.3,50996.0,1.0,0.0,1
Monterey Park,Full-Service,-0.37657958094577404,71202,50.6,77196.0,1.0,0.0,1
Industry,Contract,1.4082704326517697,85000,55.6,95806.0,0.9999,0.01,3
Pomona,Full-Service,-1.59774762320946,66129,58.4,73341.0,0.9983,0.17,4
Baldwin Park,Full-Service,-0.10930693587694347,63504,52.2,90496.0,0.9816,1.84,5
Rosemead,Full-Service,-0.10809424527846562,61875,41.4,92871.0,0.9802,1.98,6
Alhambra,Full-Service,-1.5982805503338695,61542,55.5,75475.0,0.9701,2.99,7
Azusa,Full-Service,-0.10930693587691225,67331,54.8,83298.0,0.9648,3.52,8
Temple City,Full-Service,-0.10809424527848462,85417,57.1,58956.0,0.9626,3.74,9
Monrovia,Full-Service,1.4082704326517694,82411,61.5,78305.0,0.9624,3.76,10
San Gabriel,Full-Service,-0.10809424527853044,72614,52.8,71292.0,0.9189,8.11,11
San Dimas,Full-Service,-0.10809424527849582,97553,74.3,45380.0,0.9082,9.18,12
Montebello,Full-Service,1.4082704326517697,64233,46.1,101939.0,0.9047,9.53,13
Glendora,Full-Service,-0.3765795809456338,94417,70.4,46033.0,0.8963,10.37,14
Diamond Bar,Full-Service,-0.10930693587690953,105831,65.3,37455.0,0.8742,12.58,15
Duarte,Full-Service,-0.10930693587712709,63750,50.8,80200.0,0.874,12.6,16
South El Monte,Contract,-0.10809424527832,59375,41.2,106559.0,0.8699,13.01,17
El Monte,Full-Service,-1.598280550333862,55017,44.8,75267.0,0.8546,14.54,18
La Puente,Contract,1.4082704326517697,64531,45.0,117562.0,0.854,14.6,19
La Verne,Full-Service,1.4082704326517697,100625,64.8,48719.0,0.8397,16.03,20
West Covina,Full-Service,-0.10809424527865569,83269,68.2,54152.0,0.8319,16.81,21
Covina,Full-Service,-0.10930693587674287,78902,46.1,57358.0,0.826,17.4,22
Irwindale,Contract,1.4082704326517697,72500,56.9,91488.0,0.7661,23.39,23
Whittier,Full-Service,-1.5977476232095162,84432,67.3,37261.0,0.7211,27.89,24
