,pci_score,cost_per_lane_mile,fragmentation_idx,n_neighbors,boundary_share,median_hh_income,per_capita_income,poverty_rate,area_sq_mi,avg_daily_traffic
pci_score,1.0,-0.751,-0.1,-0.032,-0.1,0.808,0.736,-0.722,0.76,-0.15
cost_per_lane_mile,-0.751,1.0,0.425,0.42,0.425,-0.704,-0.566,0.53,-0.626,0.463
fragmentation_idx,-0.1,0.425,1.0,0.889,1.0,0.2,0.225,-0.309,-0.3,0.769
n_neighbors,-0.032,0.42,0.889,1.0,0.889,0.256,0.325,-0.4,-0.19,0.855
boundary_share,-0.1,0.425,1.0,0.889,1.0,0.2,0.225,-0.309,-0.3,0.769
median_hh_income,0.808,-0.704,0.2,0.256,0.2,1.0,0.908,-0.91,0.533,0.083
per_capita_income,0.736,-0.566,0.225,0.325,0.225,0.908,1.0,-0.96,0.455,0.123
poverty_rate,-0.722,0.53,-0.309,-0.4,-0.309,-0.91,-0.96,1.0,-0.414,-0.228
area_sq_mi,0.76,-0.626,-0.3,-0.19,-0.3,0.533,0.455,-0.414,1.0,-0.27
avg_daily_traffic,-0.15,0.463,0.769,0.855,0.769,0.083,0.123,-0.228,-0.27,1.0
